,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
KALIDERES,167098,152793,160912,156372,173778,177598,189943,186511,179742,216208,215313,228297,183713.75,228297,6123.791666666667,918.56875
PESAKIH,34225,30847,33348,29840,34006,33285,35747,36282,34791,36924,35592,35925,34234.333333333336,36924,1141.1444444444446,171.17166666666668
SUMUR BOR,53438,48590,52133,46919,54086,53349,58370,58383,60738,65856,60112,59369,55945.25,65856,1864.8416666666667,279.72625
RAWA BUAYA,76296,70793,74876,69141,77211,77483,84525,84035,84504,92223,84782,84845,80059.5,92223,2668.65,400.2975
JEMBATAN BARU,45731,42787,45362,41770,48529,49674,54854,54529,53876,58129,53845,56250,50444.666666666664,58129,1681.4888888888888,252.2233333333333
PULO NANGKA,24074,21822,22707,19076,23609,23329,27517,27304,26822,29988,27340,27584,25097.666666666668,29988,836.588888888889,125.48833333333334
JEMBATAN GANTUNG,42868,39015,39848,35125,41894,41350,45977,46564,48185,53631,49442,48162,44338.416666666664,53631,1477.947222222222,221.6920833333333
TAMAN KOTA,54539,51423,53246,45511,56292,56004,61285,62082,60386,67720,61135,62840,57705.25,67720,1923.5083333333334,288.52625
DAMAI,31192,29648,29477,23394,25957,29142,47405,49173,50249,55558,51485,52691,39614.25,55558,1320.475,198.07125
JELAMBAR,129022,121644,132369,107364,114687,106198,101775,117663,115754,127219,122866,118932,117957.75,132369,3931.925,589.78875
GROGOL,43820,44152,54144,48006,62060,61591,59411,59284,68547,74514,69240,65475,59187.0,74514,1972.9,295.935
ROXY,84605,77187,80612,69517,82888,82021,90003,88988,88391,96379,89207,86419,84684.75,96379,2822.825,423.42375
PASAR BARU,51368,45380,42119,37827,45965,43163,55451,53115,48894,56199,50640,44732,47904.416666666664,56199,1596.8138888888889,239.5220833333333
,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
TERMINAL PULOGADUNG,26071,24055,7472,,,,,,,,,,19199.333333333332,26071.0,639.9777777777778,95.99666666666666
PASAR PULO GADUNG,19326,16847,17147,14715.0,17386.0,15964.0,16804.0,14724.0,14110.0,14967.0,13546.0,13527.0,15755.25,19326.0,525.175,78.77624999999999
PEMUDA MERDEKA,11215,9668,9242,7711.0,9028.0,8577.0,9273.0,8245.0,8272.0,9049.0,8288.0,8048.0,8884.666666666666,11215.0,296.1555555555555,44.423333333333325
LAYUR,16719,15058,15404,13029.0,15082.0,14015.0,15248.0,14001.0,12958.0,13948.0,12812.0,13004.0,14273.166666666666,16719.0,475.7722222222222,71.36583333333333
PEMUDA RW.MANGUN,60956,55252,55189,49257.0,52939.0,52875.0,54536.0,53486.0,47788.0,50630.0,46679.0,48223.0,52317.5,60956.0,1743.9166666666667,261.5875
VELODROME,13422,13771,13354,11437.0,15358.0,15020.0,8171.0,9373.0,17816.0,26162.0,16001.0,13610.0,14457.916666666666,26162.0,481.93055555555554,72.28958333333333
KAYU JATI,36288,32391,32758,27170.0,31946.0,28917.0,31281.0,21742.0,13760.0,33671.0,26148.0,25435.0,28458.916666666668,36288.0,948.6305555555556,142.29458333333332
RAWAMANGUN,49400,72637,65186,50319.0,73452.0,58087.0,53725.0,71873.0,95470.0,94949.0,72913.0,60665.0,68223.0,95470.0,2274.1,341.11499999999995
SIMPANG PRAMUKA,12931,10763,10962,9519.0,10935.0,10005.0,11793.0,11812.0,11305.0,11529.0,10543.0,15553.0,11470.833333333334,15553.0,382.36111111111114,57.35416666666667
PRAMUKA SARI,19378,16536,16003,13639.0,16177.0,15505.0,19470.0,18855.0,17318.0,17807.0,16361.0,15667.0,16893.0,19470.0,563.1,84.465
UTAN KAYU,12059,11259,11330,9762.0,11809.0,11274.0,12787.0,13013.0,12629.0,12885.0,12267.0,11814.0,11907.333333333334,13013.0,396.91111111111115,59.53666666666667
PASAR GENJING,32587,29456,27856,24833.0,29143.0,28386.0,32710.0,30993.0,30118.0,32138.0,30710.0,30551.0,29956.75,32710.0,998.5583333333333,149.78375
FLYOVER PRAMUKA,29027,25483,25553,21877.0,25863.0,24360.0,27507.0,27112.0,25467.0,27229.0,24425.0,23758.0,25638.416666666668,29027.0,854.6138888888889,128.19208333333333
MANGGARAI,93524,92647,92498,78225.0,92984.0,87981.0,95211.0,92879.0,107285.0,116274.0,103765.0,98031.0,95942.0,116274.0,3198.0666666666666,479.71
PASAR RUMPUT,27100,25478,25585,22723.0,25823.0,25051.0,27447.0,26726.0,28009.0,30824.0,28094.0,30924.0,26982.0,30924.0,899.4,134.91
HALIMUN,17688,20290,23062,17337.0,21750.0,18831.0,23020.0,23264.0,26763.0,29122.0,25243.0,23269.0,22469.916666666668,29122.0,748.9972222222223,112.34958333333334
